model,cv_mean,cv_std,accuracy,f1
LogisticRegression,0.8775000000000001,0.01837117307087381,0.87,0.8602150537634409
SVC,0.9225,0.01999999999999998,0.98,0.9782608695652174
KNN,0.8925000000000001,0.018708286933869687,0.93,0.9213483146067416
GaussianNB,0.8925000000000001,0.02915475947422649,0.92,0.9183673469387755
DecisionTree,0.99,0.020000000000000018,0.99,0.989010989010989
RandomForest,0.975,0.020916500663351895,0.99,0.989010989010989
AdaBoost,0.9974999999999999,0.004999999999999982,1.0,1.0
GradientBoosting,0.99,0.020000000000000018,1.0,1.0
XGBoost,0.9875,0.019364916731037102,1.0,1.0
